sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p88,Junior,g22,C,1,11,526,40,2066,0.275,0.25459825750242016,0.2668393030009681,0.2647991287512101,0.2627589545014521
p85,Senior,g22,A,2,5,381,56,2323,0.08928571428571429,0.16401205337925095,0.11917624992312895,0.12664888383248263,0.13412151774183628
p86,Senior,g22,A,2,9,287,56,2323,0.16071428571428573,0.12354713732242789,0.1458474263575426,0.14213071151835682,0.13841399667917104
p87,Senior,g22,A,2,18,646,56,2323,0.32142857142857145,0.2780886784330607,0.30409261423036715,0.29975862493081606,0.295424635631265
p88,Junior,g22,A,2,24,1009,56,2323,0.42857142857142855,0.4343521308652604,0.43088370948896126,0.4314617797183445,0.43203984994772765
p89,Senior,g23,A,1,11,332,60,2319,0.18333333333333332,0.14316515739542907,0.16726606295817162,0.16324924536438118,0.15923242777059077
p90,Senior,g23,A,1,17,511,60,2319,0.2833333333333333,0.22035360068995258,0.258141440275981,0.25184346701164295,0.2455454937473049
p91,Senior,g23,A,1,16,602,60,2319,0.26666666666666666,0.25959465286761535,0.26383786114704616,0.263130659767141,0.26242345838723585
p92,Junior,g23,A,1,16,874,60,2319,0.26666666666666666,0.376886589047003,0.31075463561880123,0.3217766278568348,0.3327986200948685
p89,Senior,g23,B,2,11,241,52,1940,0.21153846153846154,0.12422680412371134,0.17661379857256146,0.16788263283108645,0.15915146708961142
p90,Senior,g23,B,2,9,295,52,1940,0.17307692307692307,0.15206185567010308,0.16467089611419508,0.16256938937351306,0.16046788263283107
p91,Senior,g23,B,2,17,786,52,1940,0.3269230769230769,0.40515463917525774,0.35821570182394924,0.36603885804916736,0.37386201427438537
p92,Junior,g23,B,2,15,618,52,1940,0.28846153846153844,0.3185567010309278,0.30049960348929416,0.3035091197462331,0.3065186360031721
p93,Senior,g24,A,1,6,208,20,632,0.3,0.3291139240506329,0.31164556962025314,0.31455696202531647,0.3174683544303797
p94,Senior,g24,A,1,7,265,20,632,0.35,0.41930379746835444,0.37772151898734174,0.3846518987341772,0.3915822784810127
p95,Senior,g24,A,1,4,77,20,632,0.2,0.12183544303797468,0.16873417721518988,0.16091772151898734,0.15310126582278483
p96,Junior,g24,A,1,3,82,20,632,0.15,0.12974683544303797,0.14189873417721519,0.13987341772151898,0.13784810126582278
p93,Senior,g24,C,2,10,455,40,1522,0.25,0.29894875164257556,0.26957950065703024,0.27447437582128775,0.2793692509855453
p94,Senior,g24,C,2,12,479,40,1522,0.3,0.3147174770039422,0.3058869908015769,0.3073587385019711,0.3088304862023653
p95,Senior,g24,C,2,13,452,40,1522,0.325,0.29697766097240474,0.3137910643889619,0.3109888304862024,0.30818659658344283
p96,Junior,g24,C,2,5,136,40,1522,0.125,0.08935611038107753,0.11074244415243101,0.10717805519053877,0.10361366622864651
